month,dow,hour,exit,승차인원,하차인원
09,SUN,20,2,9.090758140288337,26.391179329337387
09,SUN,20,3,5.5039283978616504,15.978333063340337
09,SUN,20,4,3.3394621739834407,9.694718937307526
09,SUN,20,5,0.37105135266480976,1.0771909930341204
09,SUN,20,6,0.0,0.0
09,SUN,20,7,4.576300016199549,13.285355580754814
09,SUN,20,8,2.1026243317673696,6.104082293860348
09,SUN,20,9,2.040782439656568,5.924550461687994
09,SUN,20,9-1,30.364369026405317,88.1501295966305
09,SUN,21,1,19.68895800933124,64.52566096423011
09,SUN,21,10,17.043254276827355,55.85502527216168
09,SUN,21,11,14.028382581648493,45.9745334370139
09,SUN,21,12,85.21627138413686,279.2751263608087
09,SUN,21,13,33.102060653188175,108.48376749611195
09,SUN,21,14,69.15746500777604,226.64638413685842
09,SUN,21,15,32.302196734059095,105.86241251944013
09,SUN,21,2,7.5679432348367,24.80205093312596
09,SUN,21,3,6.706551321928451,21.97905326594087
09,SUN,21,4,2.0304237947122648,6.654208786936166
09,SUN,21,5,0.36916796267493707,1.209856143079237
09,SUN,21,6,0.0,0.0
09,SUN,21,7,3.3225116640746237,10.888705287713755
09,SUN,21,8,2.0304237947122648,6.654208786936166
09,SUN,21,9,2.0919517884914365,6.8558514774494235
09,SUN,21,9-1,21.84243779160185,71.58315513219279
09,SUN,22,1,18.817715019255452,60.98587933247752
09,SUN,22,10,16.267650834403064,52.72143774069313
09,SUN,22,11,9.232991014120651,29.922978177150142
09,SUN,22,12,64.10333761232349,207.7509627727856
09,SUN,22,13,27.786906290115514,90.0539152759948
09,SUN,22,14,67.97240051347879,220.29011553273418
09,SUN,22,15,32.0956354300385,104.0179717586649
09,SUN,22,2,7.210526315789471,23.368421052631568
09,SUN,22,3,5.100128369704732,16.52888318356862
09,SUN,22,4,0.8793324775352805,2.8498074454428073
09,SUN,22,5,0.0,0.0
09,SUN,22,6,0.0,0.0
09,SUN,22,7,1.494865211809996,4.8446726572528345
09,SUN,22,8,2.286264441591773,7.40949935815144
09,SUN,22,9,1.5827984595635272,5.129653401797125
09,SUN,22,9-1,19.169448010269576,62.125802310654684
09,SUN,23,1,18.16741877256317,62.04813477737663
09,SUN,23,10,6.723375451263539,22.962695547533094
09,SUN,23,11,3.8623646209386187,13.19133574007217
09,SUN,23,12,52.92870036101083,180.77015643802648
09,SUN,23,13,24.74774368231046,84.52226233453666
09,SUN,23,14,57.64936823104693,196.89290012033692
09,SUN,23,15,24.17554151624548,82.56799037304451
09,SUN,23,2,10.871841155234657,37.13116726835138
09,SUN,23,3,9.01218411552346,30.779783393501788
09,SUN,23,4,1.430505415162448,4.885679903730422
09,SUN,23,5,2.002707581227422,6.839951865222574
09,SUN,23,6,0.0,0.0
09,SUN,23,7,3.2901624548736446,11.23706377858002
09,SUN,23,8,1.430505415162448,4.885679903730422
09,SUN,23,9,2.002707581227422,6.839951865222574
09,SUN,23,9-1,19.454873646209368,66.445246690734
09,SAT,5,1,7.8534031413612455,1.7486910994764373
09,SAT,5,10,2.945026178010465,0.6557591623036635
09,SAT,5,11,3.141361256544495,0.6994764397905742
09,SAT,5,12,34.55497382198952,7.6942408376963325
09,SAT,5,13,42.01570680628272,9.355497382198951
09,SAT,5,14,21.400523560209418,4.765183246073297
09,SAT,5,15,18.651832460732983,4.153141361256544
09,SAT,5,2,2.945026178010465,0.6557591623036635
